feature,p10,p25,p90,p95
current_rtt_ms,52.4429976940155,55.04649877548218,71.23299837112427,79.57450151443481
current_rttvar_ms,0.1749999970197677,0.2739999890327453,0.8690000176429749,1.128999948501587
current_delivery_rate_mbps,11.265580356121063,16.925520449876785,92.5221621990204,146.4224934577942
windowed_delivery_rate_mbps,11.534970253705978,15.055669844150541,92.3631191253662,143.67069005966187
max_windowed_delivery_rate_mbps,11.570370197296144,16.94730520248413,92.65398979187012,161.1342430114746
current_loss_mbps,0.0,0.0,0.0,0.0
current_min_rtt_ratio,0.7266533970832825,0.7941581904888153,0.9734358191490172,0.9791858494281769
previous_action,-0.0010000000474974,0.0,0.0049999998882412,0.006000000052154
time_delta_ms,0.2980000078678131,0.3095369040966034,0.3771907091140747,0.3997160494327545
delivery_growth_ratio,0.998860478401184,0.9995574653148651,1.00337016582489,1.0047131776809692
max_delivery_growth_ratio,1.0,1.0,1.0030924081802368,1.0045828819274902
rtt_inflation,1.0272890932595895,1.077266640500314,1.3761719191211446,1.5334513835505885
windowed_vs_max_rate_ratio,0.988404148096244,0.9955733589009899,1.0,1.0
loss_to_windowed_rate_ratio,0.0,0.0,0.0,0.0
current_rtt_ms_avg,52.560751140117645,55.19462451338768,71.06275111436844,79.35737445950508
current_rtt_ms_min,52.11799740791321,53.82150113582611,69.47799921035767,75.94600021839142
current_rtt_ms_max,53.16600203514099,56.13099932670593,72.08799719810486,82.15799927711487
current_rtt_ms_delta,-2.314996719360352,-0.8605003356933594,2.3590028285980225,3.6190003156661987
windowed_delivery_rate_mbps_avg,11.53700239956379,14.637244120240211,92.35354661941528,143.3011531829834
windowed_delivery_rate_mbps_min,11.516369879245758,14.03713971376419,92.30226278305054,141.01773500442505
windowed_delivery_rate_mbps_max,11.54906004667282,15.21957516670227,92.41783022880554,145.0957179069519
windowed_delivery_rate_mbps_delta,-0.0672996044158935,-0.0133395195007324,1.3590306043624878,2.7521446347236633
current_loss_mbps_avg,0.0,0.0,0.0,0.020276250143069698
current_loss_mbps_min,0.0,0.0,0.0,0.0
current_loss_mbps_max,0.0,0.0,0.0,0.021289999858709
current_loss_mbps_delta,0.0,0.0,0.0,0.0
current_min_rtt_ratio_avg,0.7284249365329742,0.7952049002051353,0.9714172780513765,0.9774070605635644
current_min_rtt_ratio_min,0.7164546847343445,0.7759752869606018,0.9605206251144408,0.972193717956543
current_min_rtt_ratio_max,0.740865170955658,0.8173102140426636,0.979796588420868,0.9831968545913696
current_min_rtt_ratio_delta,-0.0321635007858276,-0.0129341483116149,0.0304960012435913,0.04580003023147575
previous_action_avg,-0.000750000035623,0.0,0.0047499999636784,0.0062500000931322
previous_action_min,-0.0020000000949949,-0.0010000000474974,0.0040000001899898,0.0049999998882412
previous_action_max,0.0,0.0,0.0049999998882412,0.0070000002160668
previous_action_delta,-0.0010000001639127,-0.0010000000474974,0.0010000001639127,0.0020000000949949
