feature,p90,p95
current_rtt_ms,75.45620143413544,100.69410324096683
current_rttvar_ms,0.7260000109672546,0.9916999876499184
current_delivery_rate_mbps,92.66557097434998,157.64668822288513
windowed_delivery_rate_mbps,92.42667555809021,156.62671267986298
max_windowed_delivery_rate_mbps,92.60947108268738,167.33329713344577
current_loss_mbps,0.0,0.0
current_min_rtt_ratio,0.972127467393875,0.9790503293275833
previous_action,0.0049999998882412,0.006000000052154
time_delta_ms,0.3588810086250305,0.37585301548242567
delivery_growth_ratio,1.0030771255493165,1.0042935967445374
max_delivery_growth_ratio,1.0028373837471007,1.0042347609996796
rtt_inflation,1.458412284584986,1.954946397642899
windowed_vs_max_rate_ratio,1.0,1.0
loss_to_windowed_rate_ratio,0.0,0.0
current_rtt_ms_avg,75.3466747701168,100.08507452905178
current_rtt_ms_min,73.7150996923448,94.95499730110168
current_rtt_ms_max,76.76030158996583,105.1138025522232
current_rtt_ms_delta,2.0120984315872215,3.225046694278718
windowed_delivery_rate_mbps_avg,92.4212858080864,156.6499124467373
windowed_delivery_rate_mbps_min,92.38102078437805,155.26167511940005
windowed_delivery_rate_mbps_max,92.46481955051422,158.09788703918457
windowed_delivery_rate_mbps_delta,1.1003065109252945,2.35904097557068
current_loss_mbps_avg,0.0,0.0068150000515743
current_loss_mbps_min,0.0,0.0
current_loss_mbps_max,0.0,0.0136400005430914
current_loss_mbps_delta,0.0,0.0
current_min_rtt_ratio_avg,0.9708964511752128,0.9778999730944634
current_min_rtt_ratio_min,0.9617754220962524,0.9729012459516525
current_min_rtt_ratio_max,0.9795267879962921,0.9834311336278916
current_min_rtt_ratio_delta,0.02444287538528441,0.03901272416114803
previous_action_avg,0.0045000000391155,0.0057500000111758
previous_action_min,0.0040000001899898,0.0049999998882412
previous_action_max,0.0049999998882412,0.006000000052154
previous_action_delta,0.0010000000474974,0.0020000000949949
