setup,trace_type,episode_id,episode_step,segment_index,segment_role,segment_label,severity,intended_action,best_baseline_method,description
clean,clean,clean-000,0,0,clean_profile,benign_steady,0.3142851013845998,noop,reno,Benign synthetic clean profile: benign_steady.
clean,clean,clean-000,1,0,clean_profile,benign_steady,0.3142851013845998,noop,reno,Benign synthetic clean profile: benign_steady.
clean,clean,clean-000,2,0,clean_profile,benign_steady,0.3142851013845998,noop,reno,Benign synthetic clean profile: benign_steady.
clean,clean,clean-000,3,0,clean_profile,benign_steady,0.3142851013845998,noop,reno,Benign synthetic clean profile: benign_steady.
clean,clean,clean-000,4,0,clean_profile,benign_steady,0.3142851013845998,noop,reno,Benign synthetic clean profile: benign_steady.
clean,clean,clean-000,5,0,clean_profile,benign_steady,0.3142851013845998,noop,reno,Benign synthetic clean profile: benign_steady.
clean,clean,clean-000,6,0,clean_profile,benign_steady,0.3142851013845998,noop,reno,Benign synthetic clean profile: benign_steady.
clean,clean,clean-000,7,0,clean_profile,benign_steady,0.3142851013845998,noop,reno,Benign synthetic clean profile: benign_steady.
clean,clean,clean-000,8,0,clean_profile,benign_steady,0.3142851013845998,noop,reno,Benign synthetic clean profile: benign_steady.
clean,clean,clean-000,9,0,clean_profile,benign_steady,0.3142851013845998,noop,reno,Benign synthetic clean profile: benign_steady.
clean,clean,clean-000,10,0,clean_profile,benign_steady,0.3142851013845998,noop,reno,Benign synthetic clean profile: benign_steady.
clean,clean,clean-000,11,0,clean_profile,benign_steady,0.3142851013845998,noop,reno,Benign synthetic clean profile: benign_steady.
clean,clean,clean-000,12,0,clean_profile,benign_steady,0.3142851013845998,noop,reno,Benign synthetic clean profile: benign_steady.
clean,clean,clean-000,13,0,clean_profile,benign_steady,0.3142851013845998,noop,reno,Benign synthetic clean profile: benign_steady.
clean,clean,clean-000,14,0,clean_profile,benign_steady,0.3142851013845998,noop,reno,Benign synthetic clean profile: benign_steady.
clean,clean,clean-000,15,0,clean_profile,benign_steady,0.3142851013845998,noop,reno,Benign synthetic clean profile: benign_steady.
clean,clean,clean-001,0,0,clean_profile,benign_capacity_swing,0.4579351006565909,noop,bbr,Benign synthetic clean profile: benign_capacity_swing.
clean,clean,clean-001,1,0,clean_profile,benign_capacity_swing,0.4579351006565909,noop,bbr,Benign synthetic clean profile: benign_capacity_swing.
clean,clean,clean-001,2,0,clean_profile,benign_capacity_swing,0.4579351006565909,noop,bbr,Benign synthetic clean profile: benign_capacity_swing.
clean,clean,clean-001,3,0,clean_profile,benign_capacity_swing,0.4579351006565909,noop,bbr,Benign synthetic clean profile: benign_capacity_swing.
clean,clean,clean-001,4,0,clean_profile,benign_capacity_swing,0.4579351006565909,noop,bbr,Benign synthetic clean profile: benign_capacity_swing.
clean,clean,clean-001,5,0,clean_profile,benign_capacity_swing,0.4579351006565909,noop,bbr,Benign synthetic clean profile: benign_capacity_swing.
clean,clean,clean-001,6,0,clean_profile,benign_capacity_swing,0.4579351006565909,noop,bbr,Benign synthetic clean profile: benign_capacity_swing.
clean,clean,clean-001,7,0,clean_profile,benign_capacity_swing,0.4579351006565909,noop,bbr,Benign synthetic clean profile: benign_capacity_swing.
clean,clean,clean-001,8,0,clean_profile,benign_capacity_swing,0.4579351006565909,noop,bbr,Benign synthetic clean profile: benign_capacity_swing.
clean,clean,clean-001,9,0,clean_profile,benign_capacity_swing,0.4579351006565909,noop,bbr,Benign synthetic clean profile: benign_capacity_swing.
clean,clean,clean-001,10,0,clean_profile,benign_capacity_swing,0.4579351006565909,noop,bbr,Benign synthetic clean profile: benign_capacity_swing.
clean,clean,clean-001,11,0,clean_profile,benign_capacity_swing,0.4579351006565909,noop,bbr,Benign synthetic clean profile: benign_capacity_swing.
clean,clean,clean-001,12,0,clean_profile,benign_capacity_swing,0.4579351006565909,noop,bbr,Benign synthetic clean profile: benign_capacity_swing.
clean,clean,clean-001,13,0,clean_profile,benign_capacity_swing,0.4579351006565909,noop,bbr,Benign synthetic clean profile: benign_capacity_swing.
clean,clean,clean-001,14,0,clean_profile,benign_capacity_swing,0.4579351006565909,noop,bbr,Benign synthetic clean profile: benign_capacity_swing.
clean,clean,clean-001,15,0,clean_profile,benign_capacity_swing,0.4579351006565909,noop,bbr,Benign synthetic clean profile: benign_capacity_swing.
clean,clean,clean-002,0,0,clean_profile,benign_mild_loss,0.3772755128206034,noop,cubic,Benign synthetic clean profile: benign_mild_loss.
clean,clean,clean-002,1,0,clean_profile,benign_mild_loss,0.3772755128206034,noop,cubic,Benign synthetic clean profile: benign_mild_loss.
clean,clean,clean-002,2,0,clean_profile,benign_mild_loss,0.3772755128206034,noop,cubic,Benign synthetic clean profile: benign_mild_loss.
clean,clean,clean-002,3,0,clean_profile,benign_mild_loss,0.3772755128206034,noop,cubic,Benign synthetic clean profile: benign_mild_loss.
clean,clean,clean-002,4,0,clean_profile,benign_mild_loss,0.3772755128206034,noop,cubic,Benign synthetic clean profile: benign_mild_loss.
clean,clean,clean-002,5,0,clean_profile,benign_mild_loss,0.3772755128206034,noop,cubic,Benign synthetic clean profile: benign_mild_loss.
clean,clean,clean-002,6,0,clean_profile,benign_mild_loss,0.3772755128206034,noop,cubic,Benign synthetic clean profile: benign_mild_loss.
