feature,p10,p25,p90,p95
current_rtt_ms,52.60800123214722,54.897499084472656,76.64539873600008,119.01929736137394
current_rttvar_ms,0.135000005364418,0.2160000056028366,0.6000000238418579,0.7710000276565552
current_delivery_rate_mbps,11.363599970936775,15.303682908415794,92.16252207756042,92.86997497081755
windowed_delivery_rate_mbps,11.545702964067459,15.121734887361526,92.43291854858398,92.4784043431282
max_windowed_delivery_rate_mbps,11.574230343103409,22.671937569975853,92.54192113876344,92.56699085235596
current_loss_mbps,0.0,0.0,0.0,0.0
current_min_rtt_ratio,0.671354079246521,0.769196942448616,0.9705322325229645,0.978114241361618
previous_action,-0.0010000000474974,0.0,0.0040000001899898,0.006000000052154
time_delta_ms,0.27875948548316953,0.2848308980464935,0.3019536972045898,0.3096767351031304
delivery_growth_ratio,0.9989701449871062,0.9995915591716766,1.002946174144745,1.00434952378273
max_delivery_growth_ratio,1.0,1.0,1.0028945446014403,1.004333245754242
rtt_inflation,1.030362482247533,1.0748526027161747,1.4895269982970312,2.3313801144350554
windowed_vs_max_rate_ratio,0.9957159731082941,0.9979938995908234,1.0,1.0
loss_to_windowed_rate_ratio,0.0,0.0,0.0,0.0
current_rtt_ms_avg,52.60492414236069,54.897937551140785,76.50874927639961,118.40597406029708
current_rtt_ms_min,52.20759987831116,54.313500225543976,74.8848992586136,111.71540081501009
current_rtt_ms_max,53.0823016166687,55.37999868392944,78.7045991420746,129.22895252704654
current_rtt_ms_delta,-1.498696804046631,-0.5519986152648926,1.4460009336471558,2.5350975990295432
windowed_delivery_rate_mbps_avg,11.549175810068846,14.951422717422247,92.4292404949665,92.45531767606735
windowed_delivery_rate_mbps_min,11.538740247488022,14.233007282018661,92.3906683921814,92.4235701560974
windowed_delivery_rate_mbps_max,11.556352823972702,15.714524686336516,92.471182346344,92.50894784927368
windowed_delivery_rate_mbps_delta,-0.04167050123214713,-0.013042613863944926,0.9936952590942384,2.3216329514980334
current_loss_mbps_avg,0.0,0.0,0.0,0.0
current_loss_mbps_min,0.0,0.0,0.0,0.0
current_loss_mbps_max,0.0,0.0,0.0,0.0
current_loss_mbps_delta,0.0,0.0,0.0,0.0
current_min_rtt_ratio_avg,0.6743717789649963,0.7703490890562534,0.9707516580820083,0.9766759127378464
current_min_rtt_ratio_min,0.6516558766365051,0.7555927038192749,0.9623042941093444,0.9716516137123108
current_min_rtt_ratio_max,0.6883695721626282,0.7833548188209534,0.9780243039131165,0.9816856324672699
current_min_rtt_ratio_delta,-0.017279309034347504,-0.007884368300437875,0.016977113485336304,0.024922269582748402
previous_action_avg,-0.0010000000474974,0.0,0.0045000000391155,0.006000000052154
previous_action_min,-0.0020000000949949,0.0,0.0040000001899898,0.0049999998882412
previous_action_max,0.0,0.0,0.0049999998882412,0.0070000002160668
previous_action_delta,-0.0010000000474974,0.0,0.0010000000474974,0.0019999999785795
