feature,p10,p25,p90,p95
current_rtt_ms,52.62140154838562,54.98250126838684,76.87220096588135,104.92279767990112
current_rttvar_ms,0.1379999965429306,0.2230000048875808,0.652999997138977,0.8622999846935265
current_delivery_rate_mbps,5.78349195420742,11.566470190882683,92.06566214561464,92.9878979921341
windowed_delivery_rate_mbps,5.985732078552247,11.558400094509125,92.42653131484987,92.48897552490234
max_windowed_delivery_rate_mbps,9.38786178827286,11.58054992556572,92.55291223526,101.66650176048239
current_loss_mbps,0.0,0.0,0.0,0.0
current_min_rtt_ratio,0.6708134055137634,0.7541012465953827,0.970373821258545,0.9789192616939544
previous_action,-0.0010000000474974,0.0,0.0040000001899898,0.006000000052154
time_delta_ms,0.27693970799446105,0.2815321087837219,0.2976877987384796,0.30316972434520717
delivery_growth_ratio,0.9988576889038085,0.9995919167995453,1.002914261817932,1.0040631771087647
max_delivery_growth_ratio,1.0,1.0,1.0027497768402098,1.004025638103485
rtt_inflation,1.0305306863112558,1.07614325936478,1.4907277432938795,2.0234852748148375
windowed_vs_max_rate_ratio,0.9690702179068867,0.9977854007747176,1.0,1.0
loss_to_windowed_rate_ratio,0.0,0.0,0.0,0.0
current_rtt_ms_avg,53.22773274473242,54.9436454474926,82.88133194446564,104.34610391855236
current_rtt_ms_min,51.80500149726868,52.894002199172974,69.1789984703064,72.6140022277832
current_rtt_ms_max,54.7760009765625,56.59199953079224,115.20999670028688,178.2670021057129
current_rtt_ms_delta,-11.613200902938841,-1.1374980211257935,7.916600704193115,28.59510123729705
windowed_delivery_rate_mbps_avg,7.192525790631771,11.553498134016992,92.42389237880705,92.4340797662735
windowed_delivery_rate_mbps_min,5.7589440792799,11.532670259475708,92.3220992088318,92.3511803150177
windowed_delivery_rate_mbps_max,10.660464167594911,11.581630259752274,92.521470785141,115.99076747894267
windowed_delivery_rate_mbps_delta,-4.626711159944533,-0.017889589071273748,15.329721271991735,30.376763939857465
current_loss_mbps_avg,0.0,0.0,0.0,0.1360547989606857
current_loss_mbps_min,0.0,0.0,0.0,0.0
current_loss_mbps_max,0.0,0.0,0.0,0.4122999962419271
current_loss_mbps_delta,0.0,0.0,0.0,0.0
current_min_rtt_ratio_avg,0.6541573095321656,0.7602578002214432,0.959992240680443,0.9740780247908373
current_min_rtt_ratio_min,0.4430952072143554,0.7073279023170471,0.9334403872489928,0.9586235284805298
current_min_rtt_ratio_max,0.7392550706863403,0.8239601850509644,0.9854068160057068,0.9874879121780396
current_min_rtt_ratio_delta,-0.10292809009551998,-0.0332379043102264,0.10981534719467168,0.20922693908214557
previous_action_avg,-0.00234000003105028,-0.0001000000047497,0.00410000012908126,0.005158526343930669
previous_action_min,-0.0199999995529651,-0.0020000000949949,0.0,0.003000000026077
previous_action_max,0.0,0.0010000000474974,0.0080000003799796,0.0120000001043081
previous_action_delta,-0.0049999998882412,-0.0010000000474974,0.003000000026077,0.0049999998882412
